nombre_completo,partido,region,distrito_o_circunscripcion,camara,url_perfil
Sr. Felipe Donoso,UDI,,N°17,Diputado,https://www.camara.cldetalle/mociones.aspx?prmID=1126
Sr. Jorge Durán,RN,,N°9,Diputado,https://www.camara.cldetalle/mociones.aspx?prmID=1027
Sr. Eduardo Durán,RN,,N°13,Diputado,https://www.camara.cldetalle/mociones.aspx?prmID=1028
Sra. Camila Flores,RN,,N°6,Diputado,https://www.camara.cldetalle/mociones.aspx?prmID=1030
Sra. Lorena Fries,FA,,N°10,Diputado,https://www.camara.cldetalle/mociones.aspx?prmID=1127
Sr. Juan Fuenzalida,UDI,,N°5,Diputado,https://www.camara.cldetalle/mociones.aspx?prmID=1031
Sra. Ana María Gazmuri,PAH,,N°12,Diputado,https://www.camara.cldetalle/mociones.aspx?prmID=1128
Sr. Andrés Giordano,FA,,N°9,Diputado,https://www.camara.cldetalle/mociones.aspx?prmID=1129
Sr. Félix González,PEV,,N°20,Diputado,https://www.camara.cldetalle/mociones.aspx?prmID=1034
Sra. Marta González,IND,,N°15,Diputado,https://www.camara.cldetalle/mociones.aspx?prmID=1130
Sr. Mauro González,RN,,N°26,Diputado,https://www.camara.cldetalle/mociones.aspx?prmID=1131
Sr. Jorge Guzmán,EVOP,,N°17,Diputado,https://www.camara.cldetalle/mociones.aspx?prmID=1132
Sra. Carmen Hertz,PC,,N°8,Diputado,https://www.camara.cldetalle/mociones.aspx?prmID=1035
Sr. Tomás Hirsch,PAH,,N°11,Diputado,https://www.camara.cldetalle/mociones.aspx?prmID=1036
Sr. Diego Ibáñez,FA,,N°6,Diputado,https://www.camara.cldetalle/mociones.aspx?prmID=1037
Sr. Marcos Ilabaca,PS,,N°24,Diputado,https://www.camara.cldetalle/mociones.aspx?prmID=1038
Sr. Juan Irarrázaval,PREP,,N°14,Diputado,https://www.camara.cldetalle/mociones.aspx?prmID=1133
Sra. Pamela Jiles,PH,,N°12,Diputado,https://www.camara.cldetalle/mociones.aspx?prmID=1039
Sr. Andrés Jouannet,AMA,,N°23,Diputado,https://www.camara.cldetalle/mociones.aspx?prmID=1134
Sr. Harry Jürgensen,IND,,N°25,Diputado,https://www.camara.cldetalle/mociones.aspx?prmID=1040
Sr. Johannes Kaiser,PNL,,N°10,Diputado,https://www.camara.cldetalle/mociones.aspx?prmID=1135
Sr. Cristian Labbé,PNL,,N°8,Diputado,https://www.camara.cldetalle/mociones.aspx?prmID=1094
Sra. Paula Labra,IND,,N°18,Diputado,https://www.camara.cldetalle/mociones.aspx?prmID=1136
Sr. Tomás Lagomarsino,IND,,N°7,Diputado,https://www.camara.cldetalle/mociones.aspx?prmID=1137
Sr. Joaquín Lavín,UDI,,N°8,Diputado,https://www.camara.cldetalle/mociones.aspx?prmID=989
Sr. Henry Leal,UDI,,N°23,Diputado,https://www.camara.cldetalle/mociones.aspx?prmID=1138
Sr. Enrique Lee,IND,,N°1,Diputado,https://www.camara.cldetalle/mociones.aspx?prmID=1139
Sr. Raúl Leiva,PS,,N°14,Diputado,https://www.camara.cldetalle/mociones.aspx?prmID=1044
Sr. Daniel Lilayu,UDI,,N°25,Diputado,https://www.camara.cldetalle/mociones.aspx?prmID=1140
Sr. Andrés Longton,RN,,N°6,Diputado,https://www.camara.cldetalle/mociones.aspx?prmID=1046
Sr. Luis Malla,LIBERAL,,N°1,Diputado,https://www.camara.cldetalle/mociones.aspx?prmID=1141
Sr. Daniel Manouchehri,PS,,N°5,Diputado,https://www.camara.cldetalle/mociones.aspx?prmID=1142
Sr. Cristóbal Martínez,UDI,,N°19,Diputado,https://www.camara.cldetalle/mociones.aspx?prmID=1143
Sra. Carolina Marzán,PPD,,N°6,Diputado,https://www.camara.cldetalle/mociones.aspx?prmID=1048
Sr. Christian Matheson,IND,,N°28,Diputado,https://www.camara.cldetalle/mociones.aspx?prmID=1144
Sra. Karen Medina,IND,,N°21,Diputado,https://www.camara.cldetalle/mociones.aspx?prmID=1145
Sr. Cosme Mellado,PR,,N°16,Diputado,https://www.camara.cldetalle/mociones.aspx?prmID=1049
